candidate_id,rank,score,reasoning
CAND_0061265,14,0.673800,"7-year Recommendation Systems Engineer at Zoho with hands-on with embedding, vector, faiss; production ML deployment experience; tier-1 institution (IIT Madras). Concerns: 120-day notice period."
CAND_0045250,15,0.670950,"7-year Applied ML Engineer at Rephrase.ai with hands-on with embedding, vector, qdrant; production ML deployment experience; verified Sentence Transformers score 83/100. Concerns: not marked open to work."
CAND_0079387,16,0.665450,"7-year AI Engineer at Microsoft with hands-on with embedding, vector, faiss; strong Python (expert); production ML deployment experience."
CAND_0006557,17,0.663150,"8-year NLP Engineer at Paytm with hands-on with embedding, vector, faiss; verified Elasticsearch score 76/100. Concerns: 120-day notice period."
CAND_0011687,18,0.662350,"8-year Senior NLP Engineer at Niramai with hands-on with embedding, faiss, pinecone; production ML deployment experience; tier-1 institution (IIT Delhi)."
CAND_0068811,19,0.662350,"8-year Applied ML Engineer at Freshworks with hands-on with embedding, vector, qdrant; production ML deployment experience."
CAND_0083307,20,0.661600,"8-year Search Engineer at CRED with hands-on with embedding, vector, faiss; strong Python (expert). Concerns: 120-day notice period."
CAND_0091909,21,0.656350,"7-year Machine Learning Engineer at Rephrase.ai with hands-on with embedding, qdrant, pinecone; production ML deployment experience; tier-1 institution (IIIT Bangalore)."
CAND_0064326,22,0.655950,"8-year Search Engineer at Sarvam AI with hands-on with embedding, pinecone, rag; strong Python (expert); production ML deployment experience."
CAND_0041669,23,0.655050,"8-year Recommendation Systems Engineer at CRED with hands-on with embedding, faiss, qdrant; tier-1 institution (IIT Guwahati); verified FAISS score 84/100."
CAND_0070202,24,0.653100,"5-year Machine Learning Engineer at BYJU'S with hands-on with embedding, qdrant, rag; tier-1 institution (NIT Warangal); verified Object Detection score 89/100. Concerns: 90-day notice period; not marked open to work."
CAND_0052682,25,0.652450,"7-year NLP Engineer at Aganitha with hands-on with embedding, faiss, pinecone; strong Python (expert); tier-1 institution (NIT Warangal)."
CAND_0050454,26,0.651750,"7-year AI Engineer at Rephrase.ai with hands-on with embedding, faiss, qdrant; tier-1 institution (IIT Kanpur)."
CAND_0096142,27,0.650800,"5-year Applied ML Engineer at upGrad with hands-on with embedding, pinecone, rag; strong Python (expert); production ML deployment experience. Concerns: 120-day notice period."
CAND_0095528,28,0.650150,"5-year Senior Data Scientist at Netflix with hands-on with embedding, vector, qdrant; strong Python (advanced); production ML deployment experience."
CAND_0007411,29,0.649300,"8-year Senior Machine Learning Engineer at Amazon with hands-on with embedding, vector, pinecone; production ML deployment experience; tier-1 institution (IIT Roorkee). Concerns: last active 191 days ago; not marked open to work."
CAND_0039383,30,0.645650,"7-year Applied ML Engineer at Meesho with hands-on with vector, faiss, ranking; production ML deployment experience; tier-1 institution (IISc Bangalore). Concerns: 90-day notice period."
CAND_0017960,31,0.641850,"8-year Recommendation Systems Engineer at Nykaa with hands-on with embedding, faiss, qdrant; strong Python (advanced); production ML deployment experience."
CAND_0047721,32,0.641150,"7-year Senior Data Scientist at Microsoft with hands-on with embedding, faiss, qdrant; tier-1 institution (IIT Kharagpur); verified Information Retrieval score 88/100. Concerns: 90-day notice period; not marked open to work."
CAND_0080766,33,0.640700,"9-year Staff Machine Learning Engineer at Salesforce with hands-on with embedding, vector, ranking; strong Python (expert); production ML deployment experience. Concerns: not marked open to work."
CAND_0061257,34,0.632550,"8-year Staff Machine Learning Engineer at LinkedIn with hands-on with vector, ranking, retrieval; strong Python (expert); production ML deployment experience."
CAND_0006567,35,0.628500,"8-year Senior AI Engineer at Meta with hands-on with vector, ranking, retrieval; strong Python (expert); production ML deployment experience."
CAND_0014440,36,0.627400,"6-year Recommendation Systems Engineer at CRED with hands-on with embedding, faiss, qdrant; production ML deployment experience; tier-1 institution (Massachusetts Institute of Technology)."
CAND_0028793,37,0.626100,"7-year Search Engineer at Google with hands-on with embedding, vector, faiss; production ML deployment experience; tier-1 institution (BITS Pilani). Concerns: 120-day notice period."
CAND_0016163,38,0.625700,"7-year Applied ML Engineer at Dream11 with hands-on with embedding, vector, faiss; production ML deployment experience; verified Time Series score 89/100. Concerns: 120-day notice period."
CAND_0092278,39,0.620250,"7-year Senior NLP Engineer at Microsoft with hands-on with embedding, vector, faiss; production ML deployment experience; tier-1 institution (IIT Delhi). Concerns: last active 216 days ago; 90-day notice period."
CAND_0018549,40,0.617550,"7-year Recommendation Systems Engineer at Uber with hands-on with embedding, qdrant, ranking; tier-1 institution (Stanford University); verified Elasticsearch score 90/100."
CAND_0044222,41,0.617350,"8-year AI Engineer at PolicyBazaar with hands-on with embedding, vector, faiss; production ML deployment experience; tier-1 institution (IISc Bangalore)."
CAND_0037566,42,0.617050,"7-year Machine Learning Engineer at LinkedIn with hands-on with embedding, pinecone, rag; verified Pinecone score 82/100."
CAND_0093193,43,0.616900,"8-year Senior Machine Learning Engineer at Niramai with hands-on with vector, qdrant, ranking; verified Learning to Rank score 87/100."
CAND_0030953,44,0.616200,"8-year Search Engineer at Nykaa with hands-on with embedding, vector, faiss; strong Python (advanced); production ML deployment experience. Concerns: not marked open to work."
CAND_0065878,45,0.615200,"8-year Senior Data Scientist at Niramai with hands-on with embedding, vector, rag; verified scikit-learn score 71/100."
CAND_0005649,46,0.614900,"7-year Senior Data Scientist at Sarvam AI with hands-on with embedding, faiss, pinecone; production ML deployment experience. Concerns: 90-day notice period."
CAND_0026532,47,0.614250,"5-year Recommendation Systems Engineer at Zomato with hands-on with embedding, vector, faiss; tier-1 institution (Georgia Tech); verified TTS score 91/100. Concerns: 90-day notice period."
CAND_0037980,48,0.613950,"9-year Senior Applied Scientist at Niramai with hands-on with vector, ranking, retrieval; production ML deployment experience; tier-1 institution (BITS Pilani)."
CAND_0099401,49,0.611350,"8-year NLP Engineer at Dream11 with hands-on with embedding, qdrant, ranking; strong Python (advanced); production ML deployment experience. Concerns: 90-day notice period; not marked open to work."
CAND_0043228,50,0.610250,"7-year Applied ML Engineer at Zoho with hands-on with vector, faiss, ranking; production ML deployment experience; tier-1 institution (IIT Madras). Concerns: not marked open to work."
CAND_0027801,51,0.607500,"7-year NLP Engineer at InMobi with hands-on with vector, faiss, rag; production ML deployment experience; verified FAISS score 82/100. Concerns: 120-day notice period."
CAND_0022413,52,0.604850,"6-year Data Scientist at HCL with hands-on with pinecone, rag, retrieval; strong Python (advanced); production ML deployment experience. Concerns: not marked open to work."
CAND_0083879,53,0.604350,"7-year Machine Learning Engineer at Ola with hands-on with faiss, ranking, retrieval; production ML deployment experience; tier-1 institution (NIT Surathkal)."
CAND_0010257,54,0.603200,"6-year Senior Data Scientist at Google with hands-on with embedding, vector, qdrant; strong Python (expert); production ML deployment experience. Concerns: 120-day notice period."
CAND_0076163,55,0.600800,"7-year NLP Engineer at Ola with hands-on with rag, ranking, elasticsearch; strong Python (advanced); verified BM25 score 92/100."
CAND_0086151,56,0.599400,"8-year Recommendation Systems Engineer at Wysa with hands-on with embedding, faiss, qdrant; verified Recommendation Systems score 84/100. Concerns: 120-day notice period."
CAND_0069905,57,0.593900,"7-year Applied ML Engineer at Sarvam AI with hands-on with embedding, faiss, pinecone; strong Python (expert); verified LoRA score 71/100. Concerns: 90-day notice period."
CAND_0075249,58,0.591350,"6-year Applied ML Engineer at Zomato with hands-on with embedding, faiss, pinecone; tier-1 institution (IIT Hyderabad); verified Sentence Transformers score 81/100."
CAND_0076251,59,0.589950,"8-year Search Engineer at Haptik with hands-on with embedding, faiss, ranking; production ML deployment experience; verified Weaviate score 76/100."
CAND_0015528,60,0.589800,"7-year Applied ML Engineer at Krutrim with hands-on with embedding, vector, faiss; production ML deployment experience; tier-1 institution (IIIT Bangalore). Concerns: not marked open to work."
CAND_0046924,61,0.589650,"6-year Computer Vision Engineer at PharmEasy with hands-on with embedding, vector, faiss; production ML deployment experience; verified Feature Engineering score 85/100. Concerns: 120-day notice period; not marked open to work."
CAND_0028287,62,0.589550,"6-year Data Scientist at Unacademy with hands-on with vector, pinecone, rag; strong Python (advanced); production ML deployment experience. Concerns: 90-day notice period."
CAND_0032270,63,0.589350,"4-year Data Scientist at Tech Mahindra with hands-on with embedding, faiss, qdrant; production ML deployment experience; tier-1 institution (IIIT Bangalore). Concerns: not marked open to work."
CAND_0067866,64,0.588850,"6-year Senior Software Engineer (ML) at Tech Mahindra with hands-on with embedding, vector, qdrant; production ML deployment experience; tier-1 institution (IIT Delhi)."
CAND_0010685,65,0.588300,"7-year NLP Engineer at Rephrase.ai with hands-on with faiss, rag, ranking; production ML deployment experience."
CAND_0010541,66,0.581250,"6-year AI Research Engineer at Wysa with hands-on with qdrant, pinecone, ranking; production ML deployment experience; verified Weaviate score 77/100. Concerns: last active 95 days ago."
CAND_0004402,67,0.580050,"6-year AI Research Engineer at Yellow.ai with hands-on with qdrant, ranking, retrieval; production ML deployment experience; tier-1 institution (IIT Guwahati)."
CAND_0041402,68,0.579600,"6-year AI Specialist at Ola with hands-on with vector, rag, ranking; production ML deployment experience; tier-1 institution (Georgia Tech)."
CAND_0030784,69,0.579400,"4-year Data Scientist at Yellow.ai with hands-on with embedding, pinecone, rag; strong Python (advanced); production ML deployment experience. Concerns: 90-day notice period."
CAND_0070525,70,0.579000,"5-year Senior Software Engineer (ML) at Mad Street Den with hands-on with embedding, ranking, retrieval; strong Python (advanced); production ML deployment experience."
CAND_0046353,71,0.578850,"6-year ML Engineer at Razorpay with hands-on with vector, faiss, qdrant; production ML deployment experience; tier-1 institution (UC Berkeley). Concerns: 120-day notice period."
CAND_0028422,72,0.578550,"6-year Junior ML Engineer at Yellow.ai with hands-on with vector, pinecone, ranking; production ML deployment experience; verified YOLO score 79/100. Concerns: 90-day notice period."
CAND_0081852,73,0.577850,"6-year Senior Data Scientist at Mad Street Den with hands-on with embedding, vector, pinecone; production ML deployment experience."
CAND_0032216,74,0.577750,"6-year ML Engineer at upGrad with hands-on with vector, qdrant, retrieval; production ML deployment experience; tier-1 institution (IISc Bangalore)."
CAND_0093474,75,0.576600,"5-year Senior Software Engineer (ML) at Wipro with hands-on with vector, faiss, qdrant; production ML deployment experience; tier-1 institution (NIT Warangal). Concerns: 90-day notice period; not marked open to work."
CAND_0098846,76,0.575550,"8-year AI Engineer at upGrad with hands-on with embedding, qdrant, pinecone; production ML deployment experience; tier-1 institution (IIT Kanpur)."
CAND_0073007,77,0.575300,"6-year AI Specialist at Aganitha with hands-on with embedding, vector, faiss; production ML deployment experience; tier-1 institution (IIIT Hyderabad)."
CAND_0081480,78,0.574400,"6-year Computer Vision Engineer at Sarvam AI with hands-on with vector, faiss, retrieval; production ML deployment experience; verified Fine-tuning LLMs score 77/100."
CAND_0007412,79,0.573450,"7-year Applied ML Engineer at Zoho with hands-on with embedding, pinecone, rag; production ML deployment experience; tier-1 institution (IIT Hyderabad). Concerns: 120-day notice period."
CAND_0089947,80,0.572450,"5-year Junior ML Engineer at Saarthi.ai with hands-on with embedding, vector, retrieval; production ML deployment experience; verified Elasticsearch score 86/100. Concerns: 90-day notice period; not marked open to work."
CAND_0073620,81,0.572350,"4-year AI Research Engineer at TCS with hands-on with embedding, faiss, ranking; strong Python (advanced); production ML deployment experience. Concerns: 90-day notice period."
CAND_0063622,82,0.571000,"5-year Computer Vision Engineer at Niramai with hands-on with vector, retrieval; production ML deployment experience; tier-1 institution (IIT Hyderabad)."
CAND_0095213,83,0.570500,"5-year ML Engineer at Genpact AI with hands-on with pinecone, retrieval, weaviate; strong Python (advanced); production ML deployment experience. Concerns: not marked open to work."
CAND_0022870,84,0.569850,"7-year AI Specialist at HCL with hands-on with embedding, qdrant, ranking; production ML deployment experience."
CAND_0043860,85,0.569450,"6-year Junior ML Engineer at Aganitha with hands-on with vector, qdrant, ranking; production ML deployment experience; verified Information Retrieval score 84/100."
CAND_0070514,86,0.568700,"6-year AI Specialist at Glance with hands-on with faiss, pinecone, opensearch; production ML deployment experience; tier-1 institution (BITS Pilani)."
CAND_0074648,87,0.567450,"4-year AI Research Engineer at Flipkart with hands-on with embedding, qdrant, pinecone; strong Python (advanced). Concerns: 90-day notice period; not marked open to work."
CAND_0035653,88,0.565800,"6-year Data Scientist at Swiggy with hands-on with vector, rag, ranking; strong Python (advanced); production ML deployment experience."
CAND_0015057,89,0.565650,"5-year ML Engineer at Meesho with hands-on with embedding, vector, qdrant; production ML deployment experience; verified Embeddings score 70/100. Concerns: 90-day notice period."
CAND_0090584,90,0.565200,"5-year ML Engineer at Flipkart with hands-on with embedding, faiss, rag; tier-1 institution (IIT Roorkee); verified CNN score 75/100. Concerns: last active 104 days ago; 120-day notice period."
CAND_0033987,91,0.563200,"7-year ML Engineer at Wysa with hands-on with faiss, ranking, retrieval; production ML deployment experience; verified Recommendation Systems score 78/100. Concerns: 90-day notice period."
CAND_0051486,92,0.562550,"6-year AI Specialist at Aganitha with hands-on with vector, qdrant, pinecone; production ML deployment experience; verified Fine-tuning LLMs score 75/100. Concerns: 120-day notice period."
CAND_0054173,93,0.562550,"5-year Computer Vision Engineer at Verloop.io with hands-on with vector, rag, ranking; production ML deployment experience; verified OpenCV score 78/100."
CAND_0068513,94,0.562300,"4-year Computer Vision Engineer at Sarvam AI with hands-on with qdrant, rag, retrieval; production ML deployment experience; verified Qdrant score 67/100."
CAND_0083852,95,0.561600,"6-year Data Scientist at Mad Street Den with hands-on with vector, qdrant, pinecone; production ML deployment experience; verified Kubeflow score 69/100. Concerns: 90-day notice period."
CAND_0082086,96,0.561450,"6-year Senior Software Engineer (ML) at Razorpay with hands-on with faiss, pinecone, retrieval; verified Feature Engineering score 82/100."
CAND_0061175,97,0.561300,"7-year AI Research Engineer at Haptik with hands-on with vector, qdrant, ranking; strong Python (advanced); production ML deployment experience. Concerns: 120-day notice period."
CAND_0037160,98,0.560200,"6-year Data Scientist at Haptik with hands-on with embedding, vector, ranking; production ML deployment experience; tier-1 institution (IIT Kanpur)."
CAND_0072721,99,0.560150,"4-year Data Scientist at Yellow.ai with hands-on with embedding, vector, qdrant; strong Python (advanced); production ML deployment experience. Concerns: last active 106 days ago; not marked open to work."
CAND_0099269,100,0.559600,"6-year Data Scientist at BYJU'S with hands-on with qdrant, ranking, retrieval; production ML deployment experience; tier-1 institution (NIT Trichy). Concerns: 120-day notice period."
